Entity,Code,Year, Outdoor air pollution ,High systolic blood pressure ,Diet high in sodium, Diet low in whole grains ,Alcohol use ,Diet low in fruits,Unsafe water source,Secondhand smoke, Low birth weight ,Child wasting  , Unsafe sex ,Diet low in nuts and seeds , Household air pollution from solid fuels, Diet low in vegetables ,Low physical activity, Smoking , High fasting plasma glucose , Air pollution , High body-mass index , Unsafe sanitation, No access to handwashing facility , Drug use - Sex: Both - Age: All Ages (Number),Low bone mineral density, Vitamin A deficiency, Child stunting ,Discontinued breastfeeding ,Non-exclusive breastfeeding, Iron deficiency
Belarus,BLR,1991,11187,36060,2317,10939,6683,3797,34,2531,566,196,740,4438,899,2101,2373,21564,8354,12025,13387,25,57,396,364,0,15,3,61,5
Belarus,BLR,1992,11444,37412,2398,11350,7295,3971,33,2598,524,184,750,4594,870,2188,2430,22490,8774,12256,14106,24,56,430,389,0,14,3,57,4
Belarus,BLR,1993,12455,41239,2642,12543,8280,4406,32,2822,467,171,791,5078,895,2427,2651,24920,9747,13289,15689,23,58,488,431,0,12,3,52,4
Belarus,BLR,1994,12510,42202,2682,12838,8703,4506,32,2842,443,162,806,5201,855,2490,2699,25213,10050,13313,16130,23,58,513,442,0,12,3,49,3
Belarus,BLR,1995,12918,43929,2779,13342,9383,4691,31,2929,406,151,811,5411,837,2597,2754,26260,10511,13698,16962,21,59,553,475,0,10,2,44,3
Belarus,BLR,1996,12735,43865,2756,13291,9613,4660,28,2885,364,136,795,5378,791,2583,2698,26113,10556,13472,17068,19,58,568,470,0,9,2,39,3
Belarus,BLR,1997,12796,44889,2792,13581,10068,4740,26,2916,354,129,810,5485,768,2628,2727,26459,10876,13518,17574,18,60,597,486,0,8,2,38,3
Belarus,BLR,1998,12910,45983,2842,13897,10642,4825,26,2939,354,123,791,5615,747,2674,2749,26939,11194,13614,18079,17,61,639,503,0,8,2,36,3
Belarus,BLR,1999,13192,47694,2916,14421,11149,4967,25,3015,335,117,825,5834,735,2753,2830,27471,11653,13884,18812,17,62,713,515,0,7,2,33,3
Belarus,BLR,2000,12511,45839,2771,13816,10897,4722,20,2850,310,106,728,5588,665,2611,2690,25883,11222,13133,18131,14,54,720,491,0,6,2,29,3
Belarus,BLR,2001,13074,48414,2925,14596,11588,4945,18,2956,280,96,746,5892,656,2705,2797,27153,11866,13685,19246,12,52,801,520,0,6,1,25,2
Belarus,BLR,2002,13679,51451,3090,15419,12377,5160,14,3073,258,82,792,6207,646,2771,2916,28272,12615,14275,20591,10,50,1000,562,0,5,1,20,2
Belarus,BLR,2003,13236,50523,3020,15084,12294,4966,11,2944,246,72,787,6040,583,2602,2877,27252,12428,13770,20247,8,45,1066,551,0,4,1,17,2
Belarus,BLR,2004,12934,49672,2952,14822,12166,4806,9,2869,237,66,769,5890,529,2438,2872,26414,12312,13418,19980,6,41,1054,546,0,3,1,14,2
Belarus,BLR,2005,13146,50704,3017,15118,12588,4832,8,2890,236,61,759,5970,491,2366,2967,26824,12614,13607,20454,5,40,1115,562,0,3,0,12,2
Belarus,BLR,2006,12769,49396,2916,14664,12273,4610,6,2781,236,56,771,5744,426,2165,2963,25558,12338,13179,19933,5,37,1114,546,0,2,0,11,2
Belarus,BLR,2007,12298,47396,2765,13919,11778,4312,5,2648,235,50,775,5398,356,1905,2906,23947,11872,12636,19226,4,33,1125,520,0,2,0,9,2
Belarus,BLR,2008,12422,47442,2769,13835,11934,4226,5,2628,224,47,783,5319,305,1737,2967,23936,11916,12704,19354,4,32,1120,533,0,2,0,8,2
Belarus,BLR,2009,12653,48038,2784,13888,12128,4200,5,2664,212,46,814,5301,265,1603,3082,23829,12095,12891,19738,4,32,1178,529,0,2,0,7,2
Belarus,BLR,2010,12788,48447,2815,13981,12642,4185,5,2681,198,46,817,5288,233,1493,3165,24210,12216,13004,20076,4,31,1258,517,0,2,0,7,2
Belarus,BLR,2011,12869,49495,2859,14233,12845,4223,5,2741,188,45,860,5345,213,1425,3298,24397,12455,13076,20650,4,30,1271,525,0,1,0,6,2
Belarus,BLR,2012,11286,45075,2557,12881,11186,3778,5,2473,179,43,777,4810,173,1229,3138,21450,11390,11458,18750,4,26,1117,451,0,1,0,6,2
Belarus,BLR,2013,10773,45042,2518,12825,10902,3723,5,2466,172,44,764,4765,156,1157,3218,20879,11351,10926,18822,4,25,1075,428,0,1,0,6,2
Belarus,BLR,2014,10211,44839,2485,12708,10587,3672,5,2448,162,44,757,4701,141,1100,3256,20565,11261,10345,18877,4,24,1035,409,0,1,0,5,2
Belarus,BLR,2015,9586,44172,2427,12450,10118,3594,5,2396,150,41,725,4590,127,1064,3276,20137,11104,9701,18656,4,23,965,404,0,1,0,5,2
Belarus,BLR,2016,8945,44444,2420,12486,9893,3606,5,2400,142,40,720,4600,118,1070,3371,20064,11267,9051,18828,4,23,923,403,0,1,0,5,2
Belarus,BLR,2017,8567,44789,2441,12554,9865,3630,5,2413,130,39,715,4617,111,1069,3433,20423,11445,8670,19102,3,23,895,404,0,1,0,4,2
Belarus,BLR,2018,8445,44051,2401,12341,9800,3569,4,2401,119,37,710,4520,102,1041,3376,20236,11266,8541,19042,3,22,876,399,0,1,0,4,2
Belarus,BLR,2019,8483,44187,2407,12391,9807,3574,4,2435,108,36,706,4509,96,1039,3396,20509,11313,8570,19272,3,22,862,399,0,1,0,4,2
