Entity,Code,Year, Outdoor air pollution ,High systolic blood pressure ,Diet high in sodium, Diet low in whole grains ,Alcohol use ,Diet low in fruits,Unsafe water source,Secondhand smoke, Low birth weight ,Child wasting  , Unsafe sex ,Diet low in nuts and seeds , Household air pollution from solid fuels, Diet low in vegetables ,Low physical activity, Smoking , High fasting plasma glucose , Air pollution , High body-mass index , Unsafe sanitation, No access to handwashing facility , Drug use - Sex: Both - Age: All Ages (Number),Low bone mineral density, Vitamin A deficiency, Child stunting ,Discontinued breastfeeding ,Non-exclusive breastfeeding, Iron deficiency
China,CHN,1990,626744,1222195,554484,134126,357337,207316,75817,403207,253303,314550,28924,52811,1329829,86522,46082,1531775,450809,1895767,234998,59594,69012,88100,32002,3904,67884,2949,62528,3323
China,CHN,1991,649288,1246742,558283,137410,364816,208642,70793,407169,250371,303152,29073,52941,1307936,81730,48960,1581921,472255,1896715,241216,55627,65061,94211,32461,3544,64406,2750,59091,2934
China,CHN,1992,679077,1269084,561593,140298,370263,210382,63643,409170,242548,280752,29297,52787,1282940,76732,51868,1630883,495036,1898568,248473,49965,60631,98593,33011,3173,59398,2451,54480,2586
China,CHN,1993,706222,1289060,564049,143344,373551,212456,57228,409128,233119,256732,29732,52532,1251834,71847,54649,1675896,516164,1893795,256553,44869,55418,102067,33849,2778,53459,2172,49841,2372
China,CHN,1994,732454,1294318,561041,144621,375840,212902,52057,405017,222403,233226,30205,51790,1208374,66280,56351,1709262,530140,1874478,262951,40665,51469,106073,34528,2485,47746,1954,45151,2590
China,CHN,1995,756797,1308786,562391,147234,379678,214611,46248,399339,209328,208354,30404,51430,1163562,61469,58208,1749745,543982,1854833,271311,35963,47073,109253,35244,2135,41847,1739,40133,2687
China,CHN,1996,788648,1333416,565512,151221,380318,217239,41427,395095,196299,185495,30653,51364,1122156,56418,59841,1786638,558850,1844862,281729,32001,42427,110468,36120,1740,36154,1562,35865,2566
China,CHN,1997,822117,1351725,565661,154750,378711,218815,36540,387024,182450,163067,31300,50941,1068813,50479,60212,1814060,569905,1823150,293383,27982,37945,109794,36952,1391,30545,1378,31519,2433
China,CHN,1998,851597,1376407,568595,159842,379913,221771,32743,379815,169164,142172,32189,51029,1018965,44775,60864,1853196,584196,1805101,307133,24843,34042,110458,37892,1130,25484,1235,27410,2410
China,CHN,1999,900664,1428559,581448,167792,384568,227746,29012,378736,155433,122627,33875,52194,986613,40308,63305,1907349,610099,1819463,326083,21793,30643,109373,39643,927,20953,1077,23654,2286
China,CHN,2000,946411,1500960,604421,179930,395117,236990,25608,381879,142797,104915,36373,55079,967080,37692,67495,1983144,647699,1849455,347412,19019,27558,107619,42283,704,17174,938,20248,2100
China,CHN,2001,982392,1555059,619292,191378,400502,242782,22280,380706,129623,88382,39380,58106,938249,35485,71343,2024758,691182,1857894,363105,16373,24356,100541,45054,547,13923,802,16967,1854
China,CHN,2002,1021058,1623356,640256,205101,408438,249034,19310,382326,116940,73649,42600,61893,916409,33182,75116,2068850,753061,1875572,382317,14065,21690,91715,49420,440,11243,673,14284,1514
China,CHN,2003,1064319,1688880,658904,220398,416441,253420,16884,384056,104417,61179,45795,66167,893463,30871,79366,2107191,820977,1893069,400645,12210,19822,82769,55911,358,9071,558,11949,1260
China,CHN,2004,1118205,1763184,679827,236624,427751,258207,14627,388502,95035,52023,49557,70666,873591,28968,84162,2164624,888581,1923489,421108,10468,18326,77411,62489,286,7487,463,10076,1156
China,CHN,2005,1141303,1801325,684331,247005,428320,255653,12363,384925,87188,44747,51772,73492,830923,26990,87924,2169176,921108,1906271,433788,8749,16602,74647,66714,228,6210,372,8474,1029
China,CHN,2006,1145841,1797274,673308,250463,421719,245663,10244,372632,80478,38707,51520,73943,763129,24549,88892,2106667,903736,1843038,439518,7151,14726,71912,68719,175,5140,289,7067,882
China,CHN,2007,1172325,1833328,676138,257673,425344,239788,8531,367122,74619,33660,51730,75301,706175,22580,91661,2085109,893895,1813410,454164,5874,13201,69979,70685,139,4287,226,5920,753
China,CHN,2008,1228816,1915151,694072,270060,441141,237909,7275,369387,70495,30248,52763,78070,663805,21203,97147,2103671,899417,1825242,478071,4952,12310,69722,72598,109,3645,178,5102,666
China,CHN,2009,1277236,2015943,716042,285214,449065,237794,6338,375065,66334,27630,53296,81550,627982,20234,104230,2134859,916792,1843023,503967,4261,11582,68413,74318,78,3107,145,4444,606
China,CHN,2010,1330666,2121106,741952,302572,459307,239022,5503,381547,60864,25312,54615,85579,598867,19690,111986,2173614,945968,1870627,533220,3643,10778,67547,76432,48,2610,119,3834,534
China,CHN,2011,1360873,2195255,760626,315676,462594,237409,4931,383243,58418,23797,56047,87732,566937,19017,116529,2187252,972271,1874037,557531,3227,10228,67020,77783,32,2272,99,3447,471
China,CHN,2012,1374597,2231508,770590,322087,466486,232518,4577,379388,57627,22965,56538,87166,529211,17975,117105,2190880,987113,1854111,576568,2973,9729,67076,78650,27,2070,87,3244,420
China,CHN,2013,1392905,2283516,781378,331899,467612,229407,4305,378857,53306,22335,58674,87820,497919,17191,120009,2191240,1012527,1845363,597073,2775,9415,68862,79478,25,1878,78,2939,382
China,CHN,2014,1414215,2330193,789557,339974,471084,226951,4027,379995,48744,21655,63156,87767,471635,16518,123246,2200567,1036740,1844224,618146,2559,8921,72491,81016,24,1672,72,2553,321
China,CHN,2015,1437447,2369583,799071,346841,475068,225036,3963,381555,51175,21894,67530,87326,447926,16005,125714,2218343,1053231,1848574,639810,2506,8723,75533,82961,28,1586,64,2575,319
China,CHN,2016,1459220,2436311,815202,356204,483726,226241,4055,388950,51825,23098,71644,87587,434908,15869,130353,2264059,1035697,1856583,667629,2568,8820,78237,85328,34,1597,65,2636,339
China,CHN,2017,1462551,2484664,826476,365589,489499,226763,3830,395166,44107,22747,73353,87558,418645,15721,136222,2299693,1007336,1840441,694797,2361,8272,80786,86820,29,1437,69,2221,279
China,CHN,2018,1467298,2529231,835654,373499,498447,228032,3454,403593,38213,21374,74071,86809,393814,15613,141745,2344284,1024434,1828243,724651,2056,7772,82950,87953,23,1218,59,1850,228
China,CHN,2019,1516904,2599879,855385,383478,514659,231120,3270,416054,34444,20497,74859,86309,363029,15706,149531,2418665,1067554,1848274,764698,1900,7575,85238,89857,21,1048,50,1637,202
