Entity,Code,Year, Outdoor air pollution ,High systolic blood pressure ,Diet high in sodium, Diet low in whole grains ,Alcohol use ,Diet low in fruits,Unsafe water source,Secondhand smoke, Low birth weight ,Child wasting  , Unsafe sex ,Diet low in nuts and seeds , Household air pollution from solid fuels, Diet low in vegetables ,Low physical activity, Smoking , High fasting plasma glucose , Air pollution , High body-mass index , Unsafe sanitation, No access to handwashing facility , Drug use - Sex: Both - Age: All Ages (Number),Low bone mineral density, Vitamin A deficiency, Child stunting ,Discontinued breastfeeding ,Non-exclusive breastfeeding, Iron deficiency
Japan,JPN,1990,31062,180267,50276,20503,44022,16806,187,15664,1677,541,3518,8405,568,4811,13420,174837,62586,31556,33713,79,1410,6125,4298,0,36,3,40,23
Japan,JPN,1991,31176,180644,50506,20776,45107,16738,186,15863,1569,554,3523,8471,519,4521,13590,177860,63684,31614,34424,75,1471,6419,4547,0,34,3,38,22
Japan,JPN,1992,31465,181877,50843,21190,46460,16781,187,16127,1511,585,3529,8586,476,4261,13842,181646,65101,31852,35346,73,1540,6779,4757,0,33,3,38,22
Japan,JPN,1993,31810,182049,50764,21470,47452,16761,189,16276,1458,624,3519,8650,434,4006,14007,184127,66073,32133,36069,71,1596,7124,4937,0,31,3,37,19
Japan,JPN,1994,31562,179720,49933,21452,47687,16568,195,16142,1403,686,3513,8585,391,3733,13993,183990,66066,31839,36300,70,1618,7405,5091,0,30,3,36,17
Japan,JPN,1995,32092,181593,50223,21889,49088,16789,204,16258,1310,805,3637,8674,361,3585,14223,187895,67383,32332,37313,71,1645,7895,5332,0,30,2,34,16
Japan,JPN,1996,31436,177299,48652,21678,48389,16515,202,15847,1204,847,3644,8533,325,3343,13943,186165,66685,31652,37285,68,1609,8170,5356,0,27,2,32,15
Japan,JPN,1997,31421,174884,47266,21779,48679,16440,203,15716,1141,901,3678,8555,298,3163,13870,186313,67079,31606,37600,67,1628,8472,5448,0,27,2,31,15
Japan,JPN,1998,32205,176167,46771,22419,50139,16758,209,15893,1110,980,3706,8790,279,3073,14098,190573,69073,32358,38695,67,1672,8881,5663,0,27,2,31,15
Japan,JPN,1999,32946,176821,45955,22986,51039,17003,216,16051,1032,1034,3747,9021,260,3000,14294,193742,70729,33062,39594,68,1731,9182,5860,0,25,2,28,14
Japan,JPN,2000,32642,172713,43944,22919,50344,16834,219,15678,975,1046,3754,9004,236,2892,14122,191970,70181,32717,39468,67,1705,9215,5897,0,23,2,27,13
Japan,JPN,2001,32350,170501,42381,23091,49941,16862,218,15406,910,1053,3773,9083,214,2851,14111,191575,69605,32399,39622,66,1687,9260,5941,0,21,2,26,12
Japan,JPN,2002,32124,169757,41048,23459,49661,17065,233,15285,868,1072,3791,9245,196,2854,14307,192374,69100,32153,40068,66,1714,9357,5980,0,20,2,25,13
Japan,JPN,2003,32311,170899,40183,24102,50146,17486,258,15362,833,1103,3851,9497,181,2896,14678,195871,69223,32315,40960,70,1776,9583,6120,0,19,2,24,11
Japan,JPN,2004,32241,171126,39142,24591,49937,17775,283,15363,773,1126,3925,9685,167,2935,15017,197416,69166,32221,41604,74,1820,9729,6208,0,18,2,23,9
Japan,JPN,2005,32784,174461,38956,25475,50371,18308,319,15689,737,1179,4014,10059,158,3018,15603,202052,71017,32748,42729,80,1916,9891,6484,0,18,2,23,10
Japan,JPN,2006,32460,173302,37953,25703,49497,18355,354,15615,715,1184,4069,10176,147,3039,15741,201627,71834,32410,43022,85,1949,9890,6502,0,17,2,23,9
Japan,JPN,2007,32356,172440,37190,26052,48877,18477,380,15619,681,1203,4122,10311,137,3070,15922,203168,73152,32290,43552,90,1988,9923,6606,0,16,2,22,7
Japan,JPN,2008,32336,171672,36527,26410,48154,18576,401,15635,655,1224,4151,10452,128,3106,16118,204369,74603,32252,44057,93,2027,9917,6770,0,16,2,22,7
Japan,JPN,2009,32107,170412,35860,26639,47463,18589,418,15595,611,1236,4183,10542,121,3115,16216,204920,75728,32021,44415,95,2049,9883,6900,0,15,2,21,8
Japan,JPN,2010,32447,173080,35990,27349,47427,18847,442,15857,585,1272,4310,10814,118,3177,16719,207318,78251,32373,45389,98,2113,9926,7147,0,15,2,20,7
Japan,JPN,2011,33639,176718,36270,28168,48474,19118,474,16146,558,1312,4426,11123,116,3239,17342,209127,81106,33569,46348,100,2155,9970,7407,0,14,2,20,7
Japan,JPN,2012,35265,177089,35928,28393,46689,18975,498,16161,536,1328,4456,11183,114,3222,17600,208144,83151,35180,46611,101,2161,9888,7597,0,14,2,19,7
Japan,JPN,2013,37463,176963,35544,28562,46069,18793,511,16147,501,1336,4495,11216,112,3197,17810,206648,85112,37335,46834,102,2146,9824,7696,0,13,2,17,6
Japan,JPN,2014,39101,176319,35150,28591,45458,18546,517,16050,476,1341,4514,11185,110,3164,17933,204201,86672,38944,46962,103,2104,9770,7796,0,12,2,16,5
Japan,JPN,2015,39996,176933,35105,28722,45003,18417,524,16014,447,1355,4521,11220,107,3171,18172,202159,88220,39833,47299,103,2135,9747,7946,0,11,2,15,6
Japan,JPN,2016,40516,179807,35493,29104,45063,18475,534,16059,427,1386,4540,11343,104,3214,18580,200557,89978,40362,48068,105,2167,9879,8205,0,11,1,14,5
Japan,JPN,2017,40740,182820,35879,29315,45079,18458,533,15980,398,1417,4514,11420,100,3244,18940,197739,91808,40586,48754,104,2168,10007,8469,0,9,1,13,5
Japan,JPN,2018,41925,189548,36988,30139,46224,18847,537,16424,380,1439,4497,11763,98,3357,19763,198316,96039,41757,50221,103,2277,10333,8677,0,9,1,12,5
Japan,JPN,2019,42742,196385,38087,30877,47795,19206,542,16796,358,1470,4499,12031,95,3448,20536,199396,101141,42565,51822,103,2360,10535,8921,0,8,1,12,5
